Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
"Association Between Radiation Therapy, Surgery, or Observation for Localized Prostate Cancer and Patient-Reported Outcomes After 3 Years.","['Barocas, Daniel A', 'Alvarez, JoAnn', 'Resnick, Matthew J', 'Koyama, Tatsuki', 'Hoffman, Karen E', 'Tyson, Mark D', 'Conwill, Ralph', 'McCollum, Dan', 'Cooperberg, Matthew R', 'Goodman, Michael', 'Greenfield, Sheldon', 'Hamilton, Ann S', 'Hashibe, Mia', 'Kaplan, Sherrie H', 'Paddock, Lisa E', 'Stroup, Antoinette M', 'Wu, Xiao-Cheng', 'Penson, David F']","Barocas, Daniel A",Vanderbilt University Medical Center,"Penson, David F",Veterans Health Administration-Tennessee Valley Healthcare System,,57,"Importance: Understanding the adverse effects of contemporary approaches to localized prostate cancer treatment could inform shared decision making. Objective: To compare functional outcomes and adverse effects associated with radical prostatectomy, external beam radiation therapy (EBRT), and active surveillance. Design, Setting, and Participants: Prospective, population-based, cohort study involving 2550 men (</=80 years) diagnosed in 2011-2012 with clinical stage cT1-2, localized prostate cancer, with prostate-specific antigen levels less than 50 ng/mL, and enrolled within 6 months of diagnosis. Exposures: Treatment with radical prostatectomy, EBRT, or active surveillance was ascertained within 1 year of diagnosis. Main Outcomes and Measures: Patient-reported function on the 26-item Expanded Prostate Cancer Index Composite (EPIC) 36 months after enrollment. Higher domain scores (range, 0-100) indicate better function. Minimum clinically important difference was defined as 10 to 12 points for sexual function, 6 for urinary incontinence, 5 for urinary irritative symptoms, 5 for bowel function, and 4 for hormonal function. Results: The cohort included 2550 men (mean age, 63.8 years; 74% white, 55% had intermediate- or high-risk disease), of whom 1523 (59.7%) underwent radical prostatectomy, 598 (23.5%) EBRT, and 429 (16.8%) active surveillance. Men in the EBRT group were older (mean age, 68.1 years vs 61.5 years, P < .001) and had worse baseline sexual function (mean score, 52.3 vs 65.2, P < .001) than men in the radical prostatectomy group. At 3 years, the adjusted mean sexual domain score for radical prostatectomy decreased more than for EBRT (mean difference, -11.9 points; 95% CI, -15.1 to -8.7). The decline in sexual domain scores between EBRT and active surveillance was not clinically significant (-4.3 points; 95% CI, -9.2 to 0.7). Radical prostatectomy was associated with worse urinary incontinence than EBRT (-18.0 points; 95% CI, -20.5 to -15.4) and active surveillance (-12.7 points; 95% CI, -16.0 to -9.3) but was associated with better urinary irritative symptoms than active surveillance (5.2 points; 95% CI, 3.2 to 7.2). No clinically significant differences for bowel or hormone function were noted beyond 12 months. No differences in health-related quality of life or disease-specific survival (3 deaths) were noted (99.7%-100%). Conclusions and Relevance: In this cohort of men with localized prostate cancer, radical prostatectomy was associated with a greater decrease in sexual function and urinary incontinence than either EBRT or active surveillance after 3 years and was associated with fewer urinary irritative symptoms than active surveillance; however, no meaningful differences existed in either bowel or hormonal function beyond 12 months or in in other domains of health-related quality-of-life measures. These findings may facilitate counseling regarding the comparative harms of contemporary treatments for prostate cancer.",JAMA,2017 Mar 21,"['R01 HS019356/HS/AHRQ HHS/United States', 'R01 HS022640/HS/AHRQ HHS/United States', 'T32 CA106183/CA/NCI NIH HHS/United States']"
"Association Between Choice of Radical Prostatectomy, External Beam Radiotherapy, Brachytherapy, or Active Surveillance and Patient-Reported Quality of Life Among Men With Localized Prostate Cancer.","['Chen, Ronald C', 'Basak, Ramsankar', 'Meyer, Anne-Marie', 'Kuo, Tzy-Mey', 'Carpenter, William R', 'Agans, Robert P', 'Broughman, James R', 'Reeve, Bryce B', 'Nielsen, Matthew E', 'Usinger, Deborah S', 'Spearman, Kiayni C', 'Walden, Sarah', 'Kaleel, Dianne', 'Anderson, Mary', 'Sturmer, Til', 'Godley, Paul A']","Chen, Ronald C",The University of North Carolina at Chapel Hill,"Godley, Paul A",The University of North Carolina at Chapel Hill,,31,"Importance: Patients diagnosed with localized prostate cancer have to decide among treatment strategies that may differ in their likelihood of adverse effects. Objective: To compare quality of life (QOL) after radical prostatectomy, external beam radiotherapy, and brachytherapy vs active surveillance. Design, Setting, and Participants: Population-based prospective cohort of 1141 men (57% participation among eligible men) with newly diagnosed prostate cancer were enrolled from January 2011 through June 2013 in collaboration with the North Carolina Central Cancer Registry. Median time from diagnosis to enrollment was 5 weeks, and all men were enrolled with written informed consent prior to treatment. Final follow-up date for current analysis was September 9, 2015. Exposures: Treatment with radical prostatectomy, external beam radiotherapy, brachytherapy, or active surveillance. Main Outcomes and Measures: Quality of life using the validated instrument Prostate Cancer Symptom Indices was assessed at baseline (pretreatment) and 3, 12, and 24 months after treatment. The instrument contains 4 domains-sexual dysfunction, urinary obstruction and irritation, urinary incontinence, and bowel problems-each scored from 0 (no dysfunction) to 100 (maximum dysfunction). Propensity-weighted mean domain scores were compared between each treatment group vs active surveillance at each time point. Results: Of 1141 enrolled men, 314 pursued active surveillance (27.5%), 469 radical prostatectomy (41.1%), 249 external beam radiotherapy (21.8%), and 109 brachytherapy (9.6%). After propensity weighting, median age was 66 to 67 years across groups, and 77% to 80% of participants were white. Across groups, propensity-weighted mean baseline scores were 41.8 to 46.4 for sexual dysfunction, 20.8 to 22.8 for urinary obstruction and irritation, 9.7 to 10.5 for urinary incontinence, and 5.7 to 6.1 for bowel problems. Compared with active surveillance, mean sexual dysfunction scores worsened by 3 months for patients who received radical prostatectomy (36.2 [95% CI, 30.4-42.0]), external beam radiotherapy (13.9 [95% CI, 6.7-21.2]), and brachytherapy (17.1 [95% CI, 7.8-26.6]). Compared with active surveillance at 3 months, worsened urinary incontinence was associated with radical prostatectomy (33.6 [95% CI, 27.8-39.2]); acute worsening of urinary obstruction and irritation with external beam radiotherapy (11.7 [95% CI, 8.7-14.8]) and brachytherapy (20.5 [95% CI, 15.1-25.9]); and worsened bowel symptoms with external beam radiotherapy (4.9 [95% CI, 2.4-7.4]). By 24 months, mean scores between treatment groups vs active surveillance were not significantly different in most domains. Conclusions and Relevance: In this cohort of men with localized prostate cancer, each treatment strategy was associated with distinct patterns of adverse effects over 2 years. These findings can be used to promote treatment decisions that incorporate individual preferences.",JAMA,2017 Mar 21,['CER-1310-06453/Patient-Centered Outcomes Research Institute/United States']
Association Between Dabigatran vs Warfarin and Risk of Osteoporotic Fractures Among Patients With Nonvalvular Atrial Fibrillation.,"['Lau, Wallis C Y', 'Chan, Esther W', 'Cheung, Ching-Lung', 'Sing, Chor Wing', 'Man, Kenneth K C', 'Lip, Gregory Y H', 'Siu, Chung-Wah', 'Lam, Joanne K Y', 'Lee, Alan C H', 'Wong, Ian C K']","Lau, Wallis C Y",UCL School of Pharmacy,"Wong, Ian C K",UCL,,43,"Importance: The risk of osteoporotic fracture with dabigatran use in patients with nonvalvular atrial fibrillation (NVAF) is unknown. Objective: To investigate the risk of osteoporotic fracture with dabigatran vs warfarin in patients with NVAF. Design, Setting, and Participants: Retrospective cohort study using a population-wide database managed by the Hong Kong Hospital Authority. Patients newly diagnosed with NVAF from 2010 through 2014 and prescribed dabigatran or warfarin were matched by propensity score at a 1:2 ratio with follow-up until July 31, 2016. Exposures: Dabigatran or warfarin use during the study period. Main Outcomes and Measures: Risk of osteoporotic hip fracture and vertebral fracture was compared between dabigatran and warfarin users using Poisson regression. The corresponding incidence rate ratio (IRR) and absolute risk difference (ARD) with 95% CIs were calculated. Results: Among 51496 patients newly diagnosed with NVAF, 8152 new users of dabigatran (n = 3268) and warfarin (n = 4884) were matched by propensity score (50% women; mean [SD] age, 74 [11] years). Osteoporotic fracture developed in 104 (1.3%) patients during follow-up (32 dabigatran users [1.0%]; 72 warfarin users [1.5%]). Results of Poisson regression analysis showed that dabigatran use was associated with a significantly lower risk of osteoporotic fracture compared with warfarin (0.7 vs 1.1 per 100 person-years; ARD per 100 person-years, -0.68 [95% CI, -0.38 to -0.86]; IRR, 0.38 [95% CI, 0.22 to 0.66]). The association with lower risk was statistically significant in patients with a history of falls, fractures, or both (dabigatran vs warfarin, 1.6 vs 3.6 per 100 person-years; ARD per 100 person-years, -3.15 [95% CI, -2.40 to -3.45]; IRR, 0.12 [95% CI, 0.04 to 0.33]), but not in those without a history (0.6 vs 0.7 per 100 person-years; ARD per 100 person-years, -0.04 [95% CI, 0.67 to -0.39]; IRR, 0.95 [95% CI, 0.45 to 1.96]) (P value for interaction, <.001). Conclusions and Relevance: Among adults with NVAF receiving anticoagulation, the use of dabigatran compared with warfarin was associated with a lower risk of osteoporotic fracture. Additional study, perhaps including randomized clinical trials, may be warranted to further understand the relationship between use of dabigatran vs warfarin and risk of fracture.",JAMA,2017 Mar 21,
"Association Between Direct-to-Consumer Advertising and Testosterone Testing and Initiation in the United States, 2009-2013.","['Layton, J Bradley', 'Kim, Yoonsang', 'Alexander, G Caleb', 'Emery, Sherry L']","Layton, J Bradley",RTI Health Solutions,"Emery, Sherry L","National Opinion Research Center, Chicago",,27,"Importance: Testosterone initiation increased substantially in the United States from 2000 to 2013, especially among men without clear indications. Direct-to-consumer advertising (DTCA) also increased during this time. Objective: To investigate associations between televised DTCA and testosterone testing and initiation in the United States. Design, Setting, and Population: Ecologic study conducted in designated market areas (DMAs) in the United States. Monthly testosterone advertising ratings were linked to DMA-level testosterone use data from 2009-2013 derived from commercial insurance claims. Associations between DTCA and testosterone testing, initiation, and initiation without recent baseline tests were estimated using Poisson generalized estimating equations. Exposures: Monthly Nielsen ratings for testosterone DTCA in the 75 largest DMAs. Main Outcomes and Measures: (1) Rates of new serum testosterone testing; (2) rates of testosterone initiation (in-office injection, surgical implant, or pharmacy dispensing) for all testosterone products combined and for specific brands; and (3) rates of testosterone initiation without recent serum testosterone testing. Results: Of 17228599 commercially insured men in the 75 DMAs, 1007990 (mean age, 49.6 [SD, 11.5] years) had new serum testosterone tests and 283317 (mean age, 51.8 [SD, 11.3] years) initiated testosterone treatment. Advertising intensity varied by geographic region and time, with the highest intensity seen in the southeastern United States and with months ranging from no ad exposures to a mean of 13.6 exposures per household. Nonbranded advertisements were common prior to 2012, with branded advertisements becoming more common during and after 2012. Each household advertisement exposure was associated with a monthly increase in rates of new testosterone testing (rate ratio [RR], 1.006; 95% CI, 1.004-1.008), initiation (RR, 1.007; 95% CI, 1.004-1.010), and initiation without a recent test (RR, 1.008; 95% CI, 1.002-1.013). Mean absolute rate increases were 0.14 tests (95% CI, 0.09-0.19), 0.05 new initiations (95% CI, 0.03-0.08), and 0.02 initiations without a recent test (95% CI, 0.01-0.03) per 10000 men for each monthly ad exposure over the entire period. Conclusions and Relevance: Among US men residing in the 75 designated market areas, regional exposure to televised direct-to-consumer advertising was associated with greater testosterone testing, new initiation, and initiation without recent testing.",JAMA,2017 Mar 21,"['R01 AG042845/AG/NIA NIH HHS/United States', 'R01 HL107345/HL/NHLBI NIH HHS/United States', 'UL1 RR025747/RR/NCRR NIH HHS/United States']"
Metformin for Prediabetes.,,,,,,,,,JAMA,2017 Mar 21,
Transitions in House Staff Care and Patient Mortality.,"['Denson, Joshua L', 'Horwitz, Leora I', 'Sherman, Scott E']","Denson, Joshua L",University of Colorado School of Medicine,"Sherman, Scott E",New York University Abu Dhabi,,23,,JAMA,2017 Mar 21,
Sedation vs Intubation for Patients With Acute Stroke Undergoing Thrombectomy-Reply.,"['Bosel, Julian', 'Schonenberger, Silvia']","Bosel, Julian",Universitatsklinikum Heidelberg,"Schonenberger, Silvia",Universitatsklinikum Heidelberg,,8,,JAMA,2017 Mar 21,
Time to Endovascular Thrombectomy for Acute Stroke-Reply.,"['Saver, Jeffrey L', 'Goyal, Mayank', 'Hill, Michael D']","Saver, Jeffrey L","University of California, Los Angeles","Hill, Michael D",University of Calgary,,81,,JAMA,2017 Mar 21,
Transitions in House Staff Care and Patient Mortality.,"['Sadhu, Justin S']","Sadhu, Justin S",Washington University School of Medicine in St. Louis,"Sadhu, Justin S",Washington University School of Medicine in St. Louis,,3,,JAMA,2017 Mar 21,
Sedation vs Intubation for Patients With Acute Stroke Undergoing Thrombectomy.,"['See, Alfred P', 'Ducruet, Andrew F']","See, Alfred P",Barrow Neurological Institute,"Ducruet, Andrew F",Barrow Neurological Institute,,25,,JAMA,2017 Mar 21,
Sedation vs Intubation for Patients With Acute Stroke Undergoing Thrombectomy.,"['Buerkle, Hartmut', 'Goebel, Ulrich']","Buerkle, Hartmut",Universitat Freiburg im Breisgau,"Goebel, Ulrich",Universitat Freiburg im Breisgau,,18,,JAMA,2017 Mar 21,
Time to Endovascular Thrombectomy for Acute Stroke.,"['Kansagra, Akash P']","Kansagra, Akash P","Washington University School of Medicine in St. Louis, Mallinckrodt Institute of Radiology","Kansagra, Akash P","Washington University School of Medicine in St. Louis, Mallinckrodt Institute of Radiology",,8,,JAMA,2017 Mar 21,
